,S_image,correlation,p_value
0,踊り,0.10878756313824399,0.7805538526280621
1,女性,0.41079191812887456,0.27207082745361133
2,スカート,0.7458698539828915,0.02102630310606956
3,夜,0.8200908605806085,0.0067875328192439684
4,音楽,0.0,1.0
5,回る,0.19247030401381632,0.6198061390079386
6,揺れる,0.21666666666666667,0.5755148957119259
7,舞台,-0.00836827408755723,0.9829532868330847
