,tri_edge,dom/cod,踊り,女性,スカート,夜,音楽,回る,揺れる,舞台
0,"('踊り', '女性')",踊り,0.0006068506794715019,0.36602924302380374,0.026153620753162264,0.14469933213386174,0.2150832181161816,0.002566628745863989,0.0006068506794715019,0.43082315771331503
1,"('踊り', '女性')",女性,0.4973621027740842,0.020322629054706914,0.0070311741268302185,0.06593282386038868,0.849345534104792,0.48806655556281187,0.3846467923597939,0.9645461451668218
2,"('踊り', 'スカート')",踊り,0.004116597419302819,0.6988841292948215,0.05252286046708899,0.13726197944145044,0.12813021887614698,0.019405155033461283,0.0028059289678377063,0.5439670667628356
3,"('踊り', 'スカート')",スカート,0.747618228942804,0.2949902441700328,0.2949902441700328,0.37859496128192693,0.7465879509947106,0.5646732530157159,0.7805538526280621,0.5439670667628356
4,"('踊り', '夜')",踊り,0.02455415007146968,0.20538635110581185,0.02455415007146968,0.12497678418833198,0.12307662993423862,0.0655947574629728,0.0876228290414024,0.35581957250178897
5,"('踊り', '夜')",夜,0.18746985521554207,0.46003032896571994,0.30849527238037144,0.17047066078705375,0.5146735855804967,0.21252229468836073,0.17047066078705375,0.8983528043506301
6,"('踊り', '音楽')",踊り,0.07692880993776309,0.46003032896571994,0.029818035695845287,0.012519873019449882,0.08595335754058796,0.14469933213386174,0.0876228290414024,0.46003032896571994
7,"('踊り', '音楽')",音楽,0.18535381786420974,0.14469933213386174,0.21252229468836073,0.5738746583219767,0.3701560110232059,0.12813021887614698,0.3913604492997981,0.15236740186901965
8,"('踊り', '回る')",踊り,0.35581957250178897,0.5755148957119259,0.2439524358800516,0.17047066078705375,0.6669046355985243,0.353666329808871,0.2439524358800516,0.831214097710308
9,"('踊り', '回る')",回る,0.932156735540504,0.30849527238037144,0.30849527238037144,0.4879222748387009,0.5292413110551777,0.8979283954703233,0.9660548039946861,0.7000942309691419
10,"('踊り', '揺れる')",踊り,0.026153620753162264,0.3913604492997981,0.04856819494488676,0.24175711150708423,0.11120009447818494,0.06645410286032921,0.14469933213386174,0.3178226816985236
11,"('踊り', '揺れる')",揺れる,0.5292413110551777,0.05252286046708899,0.36602924302380374,0.6043593545214949,0.26017735145832527,0.4770586710440544,0.7640451166486228,0.08595335754058796
12,"('踊り', '舞台')",踊り,0.09918581647988323,0.668231040071504,0.019942126131992522,0.0037047773275858133,0.353666329808871,0.12307662993423862,0.02455415007146968,0.8983528043506301
13,"('踊り', '舞台')",舞台,0.04986723056888511,0.20538635110581185,0.0037047773275858133,0.07692880993776309,0.2417571115070841,0.04480926269300501,0.07692880993776309,0.4063970144863861
14,"('女性', '踊り')",女性,0.11163298761149111,0.06708578689234565,0.029818035695845287,0.06708578689234565,0.056676692165527655,0.16839743464431983,0.2861051019083129,0.13922686754397814
15,"('女性', '踊り')",踊り,0.01594401657897401,0.46003032896571994,0.00962792472537983,0.04244227208707231,0.06103295769909979,0.05252286046708899,0.012519873019449882,0.5164895523012263
16,"('女性', 'スカート')",女性,0.731278765094574,0.0067875328192439684,0.037864053843451616,0.16839743464431983,0.9914405323476949,0.7963026092656942,0.6353826478012163,0.7805538526280621
17,"('女性', 'スカート')",スカート,0.7971388092372127,0.026153620753162264,0.36602924302380374,0.4860296141888535,0.35767411742708516,0.7465879509947106,0.9148857180816652,0.353666329808871
18,"('女性', '夜')",女性,0.9318728062136596,0.6828398157150526,0.7640451166486228,0.16026666791460525,0.7963026092656942,0.73018587743516,0.43082315771331503,0.9148857180816652
19,"('女性', '夜')",夜,0.7323675052362975,0.8646897846262037,0.20538635110581185,0.07692880993776309,0.5146735855804967,0.9318728062136596,0.7323675052362975,0.7650079429261462
20,"('女性', '音楽')",女性,0.9318728062136596,0.12307662993423849,0.07036502278970762,0.0655947574629728,0.6105448254630548,0.9486696309304361,0.4043225359679229,0.2317840652993742
21,"('女性', '音楽')",音楽,0.5755148957119259,0.1543901209862251,0.09918581647988323,0.06708578689234565,0.22203877371139524,0.5890472411061645,0.5456987782182727,0.46003032896571994
22,"('女性', '回る')",女性,0.3807131816768634,0.932156735540504,0.7323675052362975,0.5755148957119259,0.130054688990847,0.5890472411061645,0.7323675052362975,0.22421610749233659
23,"('女性', '回る')",回る,0.668231040071504,0.05807305801714863,0.26458604674749614,0.5164895523012263,0.5146735855804967,0.4580688437057311,0.8983528043506301,0.1543901209862251
24,"('女性', '揺れる')",女性,0.8810067501468761,0.8305146353314997,0.3178226816985236,0.27302974714377237,0.7548225304958622,0.6183107741843601,0.5146735855804967,0.7971388092372127
25,"('女性', '揺れる')",揺れる,0.8472940220818164,0.7150322450059001,0.5588463751684138,0.21252229468836073,0.6028123307114599,0.9743246190449161,0.27302974714377237,0.5890472411061645
26,"('女性', '舞台')",女性,0.7000942309691419,0.019942126131992522,0.0876228290414024,0.18746985521554207,0.2730297471437723,0.7971388092372127,1.0,0.3807131816768634
27,"('女性', '舞台')",舞台,0.13922686754397814,0.17047066078705375,0.005265691029161748,0.04244227208707231,0.06103295769909979,0.19417917606506618,0.13922686754397814,0.4063970144863861
28,"('スカート', '踊り')",スカート,0.6951640920239026,0.016814014277908546,0.052514014075065556,0.11733810288497036,0.5519597132755116,0.693935754633527,0.21541170296009043,0.34708012239835
29,"('スカート', '踊り')",踊り,0.04480926269300501,0.6510838503222888,0.06103295769909979,0.013505972810006874,0.12813021887614698,0.06645410286032921,0.0057953731994397194,0.5292413110551777
30,"('スカート', '女性')",スカート,0.982881215852173,0.012861966262373726,0.1211700359343757,0.15820707034416104,0.7620999803757125,0.9398732202580404,0.8466544684756082,0.6496847436328109
31,"('スカート', '女性')",女性,0.1966960523493909,0.052514014075065556,1.0,0.8283628971177416,0.2749638840966216,0.16832635719358083,0.1462402583123162,0.5386514414257368
32,"('スカート', '夜')",スカート,0.5146735855804967,0.9829532868330847,0.5890472411061645,0.4043225359679229,0.15035179396853673,0.7057609263661715,0.8979283954703233,0.22203877371139524
33,"('スカート', '夜')",夜,0.3638713652659553,0.26015875421000983,0.002063597796931827,0.022767532206174657,0.2685995538254066,0.5183157211753043,0.4287796272981065,0.9315852819957169
34,"('スカート', '音楽')",スカート,0.7650079429261462,0.6368198117628943,0.2439524358800516,0.2439524358800516,0.8641266713551774,0.5146735855804967,0.6059012741795533,0.8983528043506301
35,"('スカート', '音楽')",音楽,0.4879222748387009,0.5755148957119259,0.3807131816768634,0.7000942309691419,0.14469933213386174,0.4443546956852248,0.8983528043506301,0.03576957497026169
36,"('スカート', '回る')",スカート,0.35581957250178897,0.2439524358800516,0.4328453267094823,0.6368198117628943,0.10350688483298859,0.4443546956852248,0.7650079429261462,0.09918581647988323
37,"('スカート', '回る')",回る,0.8810067501468761,0.353666329808871,0.7971388092372127,0.9488837293174808,0.9145298909466922,0.982881820225859,0.8810067501468761,0.6828398157150526
38,"('スカート', '揺れる')",スカート,0.5755148957119259,0.2439524358800516,0.8983528043506301,0.668231040071504,0.2623814171891539,0.7150322450059001,0.668231040071504,0.668231040071504
39,"('スカート', '揺れる')",揺れる,0.7323675052362975,0.029818035695845287,0.18746985521554207,0.46003032896571994,0.6510838503222887,0.5890472411061645,0.7650079429261462,0.2439524358800516
40,"('スカート', '舞台')",スカート,0.797971695234851,0.13922686754397814,0.5164895523012263,0.3807131816768634,0.6043593545214949,0.813794310413029,0.5755148957119259,0.4879222748387009
41,"('スカート', '舞台')",舞台,0.16026666791460525,0.2623814171891539,0.04480926269300501,0.12307662993423849,0.06884229193960305,0.35767411742708516,0.17675983229878703,0.6353826478012163
42,"('夜', '踊り')",夜,0.35581957250178897,0.5755148957119259,0.2439524358800516,0.05807305801714863,0.13726197944145044,0.4443546956852248,0.4879222748387009,0.5164895523012263
43,"('夜', '踊り')",踊り,0.4063970144863861,0.668231040071504,0.09918581647988323,0.005265691029161748,0.39136044929979796,0.4860296141888535,0.1543901209862251,0.932156735540504
44,"('夜', '女性')",夜,0.4043225359679229,0.747618228942804,0.2519566902874007,0.08595335754058796,0.5348261148175903,0.542230206549819,0.36602924302380374,0.8979283954703233
45,"('夜', '女性')",女性,0.797971695234851,0.6059012741795533,0.2439524358800516,0.0037047773275858133,0.22203877371139524,0.9829532868330847,0.5755148957119259,0.797971695234851
46,"('夜', 'スカート')",夜,0.4063970144863861,0.831214097710308,0.1543901209862251,0.07692880993776309,0.18535381786420974,0.6043593545214949,0.5164895523012263,0.7650079429261462
47,"('夜', 'スカート')",スカート,0.5755148957119259,0.668231040071504,0.13922686754397814,0.0037047773275858133,0.731278765094574,0.5439670667628356,0.2861051019083129,0.932156735540504
48,"('夜', '音楽')",夜,0.12307662993423849,0.8472940220818164,0.028819184601435795,0.0067875328192439684,0.10798565262042732,0.16633014567367724,0.130054688990847,0.5146735855804967
49,"('夜', '音楽')",音楽,0.6059012741795533,0.0876228290414024,0.05807305801714863,0.04986723056888511,0.2623814171891539,0.747618228942804,0.5164895523012263,0.7650079429261462
50,"('夜', '回る')",夜,0.07036502278970762,0.5292413110551777,0.023655352808501482,0.026153620753162264,0.035137264248113365,0.13530538571116735,0.20323552046727092,0.2519566902874007
51,"('夜', '回る')",回る,0.8983528043506301,0.831214097710308,0.668231040071504,0.17047066078705375,0.813794310413029,1.0,0.7650079429261462,0.668231040071504
52,"('夜', '揺れる')",夜,0.0876228290414024,0.4879222748387009,0.05807305801714863,0.03576957497026169,0.12307662993423862,0.18535381786420974,0.17047066078705375,0.4328453267094823
53,"('夜', '揺れる')",揺れる,0.4063970144863861,0.5456987782182727,0.6059012741795533,0.26458604674749614,0.9148857180816652,0.3295603649720029,0.8983528043506301,0.26458604674749614
54,"('夜', '舞台')",夜,0.2519566902874007,0.9829532868330847,0.13726197944145044,0.05252286046708899,0.08706297199625444,0.37647346724829645,0.43082315771331503,0.4443546956852248
55,"('夜', '舞台')",舞台,0.13922686754397814,0.7000942309691419,0.4879222748387009,0.12497678418833198,0.07534651435930123,0.16839743464431983,0.2861051019083129,0.13922686754397814
