,S_image,correlation,p_value
0,踊り,0.27615304488938863,0.47196179260238613
1,女性,0.41079191812887456,0.27207082745361133
2,スカート,0.4852162225324867,0.1855033888190558
3,夜,0.6333333333333333,0.06708578689234565
4,音楽,0.1422606594884729,0.7150322450059001
5,回る,0.22594340036404525,0.5588463751684138
6,揺れる,0.35,0.35581957250178897
7,舞台,0.25104822262671694,0.5146735855804967
