,tri_edge,dom/cod,踊り,女性,スカート,夜,音楽,回る,揺れる,舞台
0,"('踊り', '女性')",踊り,0.912141875543738,0.34309923758984645,0.728039845617479,-0.5272012675161055,0.45798319327731096,0.865546218487395,0.912141875543738,0.30125786715206027
1,"('踊り', '女性')",女性,0.26111648393354675,0.7485339206095007,0.8181649829917798,-0.6353834442382971,0.0742932064153952,0.2665815053728887,0.33074754631582587,-0.017407765595569783
2,"('踊り', 'スカート')",踊り,0.8451956828432803,0.15062893357603013,0.6610936529170212,-0.5355695416036628,0.546218487394958,0.7521008403361346,0.8619322310183947,0.23431167445160245
3,"('踊り', 'スカート')",スカート,0.12552411131335847,0.39330888211518983,0.39330888211518983,-0.33473096350228926,0.12605042016806725,0.22268907563025214,0.10878756313824399,0.23431167445160245
4,"('踊り', '夜')",踊り,0.7333333333333334,0.4666666666666666,0.7333333333333334,-0.5499999999999999,0.5523060897787772,0.6359888306543495,0.6,0.35
5,"('踊り', '夜')",夜,-0.48333333333333334,0.2833333333333333,-0.38333333333333336,0.5,-0.25104822262671694,-0.4602550748156477,-0.5,-0.049999999999999996
6,"('踊り', '音楽')",踊り,0.6166666666666666,0.2833333333333333,0.7166666666666667,-0.7833333333333333,0.6025157343041205,0.5272012675161055,0.6,0.2833333333333333
7,"('踊り', '音楽')",音楽,0.48535989707831934,0.5272012675161055,0.46025507481564765,-0.21757512627648798,0.3403361344537815,0.546218487394958,0.32636268941473195,0.5188329934285483
8,"('踊り', '回る')",踊り,0.35,-0.21666666666666667,0.43333333333333335,-0.5,0.16736548175114463,0.3514675116774037,0.43333333333333335,-0.08333333333333334
9,"('踊り', '回る')",回る,-0.03333333333333333,0.38333333333333336,0.38333333333333336,-0.26666666666666666,-0.24267994853915967,0.05020964452534338,0.016666666666666666,-0.15
10,"('踊り', '揺れる')",踊り,0.728039845617479,0.32636268941473195,0.6694619270045785,-0.43515025255297596,0.5672268907563026,0.6344537815126051,0.5272012675161055,0.3765723339400754
11,"('踊り', '揺れる')",揺れる,-0.24267994853915967,0.6610936529170212,0.34309923758984645,-0.20083857810137354,-0.4201680672268908,-0.273109243697479,0.11715583722580122,-0.6025157343041205
12,"('踊り', '舞台')",踊り,0.5833333333333334,0.16666666666666669,0.75,-0.8499999999999999,0.3514675116774037,0.5523060897787772,0.7333333333333334,0.049999999999999996
13,"('踊り', '舞台')",舞台,0.6666666666666667,0.4666666666666666,0.8499999999999999,-0.6166666666666666,0.435150252552976,0.6778302010921357,0.6166666666666666,0.31666666666666665
14,"('女性', '踊り')",女性,0.5666666666666667,0.6333333333333333,0.7166666666666667,-0.6333333333333333,0.652725378829464,0.5020964452534339,0.39999999999999997,0.5333333333333333
15,"('女性', '踊り')",踊り,0.7666666666666667,0.2833333333333333,0.7999999999999999,-0.6833333333333333,0.6443571047419068,0.6610936529170212,0.7833333333333333,0.25
